Opened Date,Days Since Start Date,Day of Week,# of Cases
2012-01-03,0,1,2
2012-09-28,269,4,1
2013-01-23,386,2,1
2013-05-16,499,3,1
2013-05-31,514,4,1
2013-06-24,538,0,1
2013-08-08,583,3,1
2013-09-30,636,0,1
2013-12-30,727,0,2
2014-02-05,764,2,1
2014-02-28,787,4,1
2014-08-08,948,4,1
2014-08-27,967,2,1
2014-09-02,973,1,1
2014-09-09,980,1,1
2014-09-11,982,3,1
2014-09-15,986,0,1
2014-09-17,988,2,1
2014-09-18,989,3,1
2014-09-19,990,4,2
2014-09-22,993,0,5
2014-09-23,994,1,1
2014-09-24,995,2,8
2014-09-25,996,3,5
2014-09-26,997,4,9
2014-09-29,1000,0,18
2014-09-30,1001,1,39
2014-10-01,1002,2,37
2014-10-02,1003,3,78
2014-10-03,1004,4,51
2014-10-06,1007,0,77
2014-10-07,1008,1,62
2014-10-08,1009,2,65
2014-10-09,1010,3,58
2014-10-10,1011,4,58
2014-10-13,1014,0,72
2014-10-14,1015,1,71
2014-10-15,1016,2,67
2014-10-16,1017,3,57
2014-10-17,1018,4,64
2014-10-20,1021,0,95
2014-10-21,1022,1,79
2014-10-22,1023,2,80
2014-10-23,1024,3,70
2014-10-24,1025,4,54
2014-10-27,1028,0,81
2014-10-28,1029,1,77
2014-10-29,1030,2,83
2014-10-30,1031,3,91
2014-10-31,1032,4,80
2014-11-03,1035,0,98
2014-11-04,1036,1,90
2014-11-05,1037,2,72
2014-11-06,1038,3,83
2014-11-07,1039,4,67
2014-11-10,1042,0,89
2014-11-11,1043,1,77
2014-11-12,1044,2,80
2014-11-13,1045,3,77
2014-11-14,1046,4,76
2014-11-17,1049,0,102
2014-11-18,1050,1,80
2014-11-19,1051,2,68
2014-11-20,1052,3,80
2014-11-21,1053,4,89
2014-11-24,1056,0,103
2014-11-25,1057,1,76
2014-11-26,1058,2,63
2014-11-27,1059,3,2
2014-11-28,1060,4,6
2014-12-01,1063,0,89
2014-12-02,1064,1,82
2014-12-03,1065,2,63
2014-12-04,1066,3,79
2014-12-05,1067,4,63
2014-12-08,1070,0,96
2014-12-09,1071,1,98
2014-12-10,1072,2,69
2014-12-11,1073,3,69
2014-12-12,1074,4,68
2014-12-15,1077,0,78
2014-12-16,1078,1,92
2014-12-17,1079,2,81
2014-12-18,1080,3,75
2014-12-19,1081,4,71
2014-12-22,1084,0,100
2014-12-23,1085,1,79
2014-12-24,1086,2,42
2014-12-25,1087,3,1
2014-12-26,1088,4,25
2014-12-29,1091,0,119
2014-12-30,1092,1,109
2014-12-31,1093,2,68
2015-01-01,1094,3,3
2015-01-02,1095,4,75
2015-01-05,1098,0,105
2015-01-06,1099,1,93
2015-01-07,1100,2,84
2015-01-08,1101,3,76
2015-01-09,1102,4,53
2015-01-12,1105,0,115
2015-01-13,1106,1,108
2015-01-14,1107,2,95
2015-01-15,1108,3,80
2015-01-16,1109,4,77
2015-01-19,1112,0,74
2015-01-20,1113,1,99
2015-01-21,1114,2,79
2015-01-22,1115,3,94
2015-01-23,1116,4,74
2015-01-26,1119,0,72
2015-01-27,1120,1,50
2015-01-28,1121,2,60
2015-01-29,1122,3,58
2015-01-30,1123,4,86
2015-02-02,1126,0,69
2015-02-03,1127,1,82
2015-02-04,1128,2,83
2015-02-05,1129,3,88
2015-02-06,1130,4,68
2015-02-09,1133,0,84
2015-02-10,1134,1,78
2015-02-11,1135,2,80
2015-02-12,1136,3,86
2015-02-13,1137,4,64
2015-02-16,1140,0,80
2015-02-17,1141,1,69
2015-02-18,1142,2,74
2015-02-19,1143,3,72
2015-02-20,1144,4,68
2015-02-23,1147,0,103
2015-02-24,1148,1,86
2015-02-25,1149,2,84
2015-02-26,1150,3,82
2015-02-27,1151,4,80
2015-03-02,1154,0,119
2015-03-03,1155,1,105
2015-03-04,1156,2,102
2015-03-05,1157,3,72
2015-03-06,1158,4,63
2015-03-09,1161,0,83
2015-03-10,1162,1,81
2015-03-11,1163,2,88
2015-03-12,1164,3,75
2015-03-13,1165,4,81
2015-03-16,1168,0,80
2015-03-17,1169,1,89
2015-03-18,1170,2,90
2015-03-19,1171,3,88
2015-03-20,1172,4,75
2015-03-23,1175,0,89
2015-03-24,1176,1,97
2015-03-25,1177,2,71
2015-03-26,1178,3,85
2015-03-27,1179,4,72
2015-03-30,1182,0,92
2015-03-31,1183,1,102
2015-04-01,1184,2,90
2015-04-02,1185,3,78
2015-04-03,1186,4,58
2015-04-06,1189,0,121
2015-04-07,1190,1,97
2015-04-08,1191,2,87
2015-04-09,1192,3,82
2015-04-10,1193,4,82
2015-04-13,1196,0,110
2015-04-14,1197,1,80
2015-04-15,1198,2,94
2015-04-16,1199,3,101
2015-04-17,1200,4,78
2015-04-20,1203,0,92
2015-04-21,1204,1,70
2015-04-22,1205,2,73
2015-04-23,1206,3,81
2015-04-24,1207,4,76
2015-04-27,1210,0,82
2015-04-28,1211,1,96
2015-04-29,1212,2,68
2015-04-30,1213,3,85
2015-05-01,1214,4,69
2015-05-04,1217,0,93
2015-05-05,1218,1,89
2015-05-06,1219,2,77
2015-05-07,1220,3,101
2015-05-08,1221,4,95
2015-05-11,1224,0,83
2015-05-12,1225,1,93
2015-05-13,1226,2,88
2015-05-14,1227,3,71
2015-05-15,1228,4,74
2015-05-18,1231,0,94
2015-05-19,1232,1,81
2015-05-20,1233,2,76
2015-05-21,1234,3,71
2015-05-22,1235,4,76
2015-05-25,1238,0,4
2015-05-26,1239,1,95
2015-05-27,1240,2,99
2015-05-28,1241,3,84
2015-05-29,1242,4,81
2015-06-01,1245,0,137
2015-06-02,1246,1,89
2015-06-03,1247,2,88
2015-06-04,1248,3,91
2015-06-05,1249,4,97
2015-06-08,1252,0,111
2015-06-09,1253,1,113
2015-06-10,1254,2,84
2015-06-11,1255,3,100
2015-06-12,1256,4,81
2015-06-15,1259,0,87
2015-06-16,1260,1,111
2015-06-17,1261,2,91
2015-06-18,1262,3,106
2015-06-19,1263,4,96
2015-06-22,1266,0,115
2015-06-23,1267,1,88
2015-06-24,1268,2,109
2015-06-25,1269,3,95
2015-06-26,1270,4,90
2015-06-29,1273,0,114
2015-06-30,1274,1,102
2015-07-01,1275,2,99
2015-07-02,1276,3,67
2015-07-03,1277,4,4
2015-07-06,1280,0,131
2015-07-07,1281,1,92
2015-07-08,1282,2,90
2015-07-09,1283,3,96
2015-07-10,1284,4,92
2015-07-13,1287,0,118
2015-07-14,1288,1,93
2015-07-15,1289,2,78
2015-07-16,1290,3,92
2015-07-17,1291,4,70
2015-07-20,1294,0,84
2015-07-21,1295,1,81
2015-07-22,1296,2,77
2015-07-23,1297,3,83
2015-07-24,1298,4,72
2015-07-27,1301,0,101
2015-07-28,1302,1,85
2015-07-29,1303,2,100
2015-07-30,1304,3,95
2015-07-31,1305,4,57
2015-08-03,1308,0,95
2015-08-04,1309,1,85
2015-08-05,1310,2,59
2015-08-06,1311,3,90
2015-08-07,1312,4,79
2015-08-10,1315,0,123
2015-08-11,1316,1,92
2015-08-12,1317,2,97
2015-08-13,1318,3,113
2015-08-14,1319,4,78
2015-08-17,1322,0,96
2015-08-18,1323,1,86
2015-08-19,1324,2,87
2015-08-20,1325,3,70
2015-08-21,1326,4,67
2015-08-24,1329,0,97
2015-08-25,1330,1,109
2015-08-26,1331,2,86
2015-08-27,1332,3,101
2015-08-28,1333,4,70
2015-08-31,1336,0,85
2015-09-01,1337,1,116
2015-09-02,1338,2,89
2015-09-03,1339,3,77
2015-09-04,1340,4,64
2015-09-07,1343,0,2
2015-09-08,1344,1,86
2015-09-09,1345,2,79
2015-09-10,1346,3,67
2015-09-11,1347,4,75
2015-09-14,1350,0,89
2015-09-15,1351,1,125
2015-09-16,1352,2,101
2015-09-17,1353,3,83
2015-09-18,1354,4,83
2015-09-21,1357,0,106
2015-09-22,1358,1,99
2015-09-23,1359,2,76
2015-09-24,1360,3,92
2015-09-25,1361,4,86
2015-09-28,1364,0,92
2015-09-29,1365,1,84
2015-09-30,1366,2,101
2015-10-01,1367,3,87
2015-10-02,1368,4,80
2015-10-05,1371,0,83
2015-10-06,1372,1,86
2015-10-07,1373,2,82
2015-10-08,1374,3,71
2015-10-09,1375,4,74
2015-10-12,1378,0,79
2015-10-13,1379,1,100
2015-10-14,1380,2,80
2015-10-15,1381,3,87
2015-10-16,1382,4,87
2015-10-19,1385,0,122
2015-10-20,1386,1,96
2015-10-21,1387,2,88
2015-10-22,1388,3,79
2015-10-23,1389,4,101
2015-10-26,1392,0,96
2015-10-27,1393,1,107
2015-10-28,1394,2,84
2015-10-29,1395,3,84
2015-10-30,1396,4,70
2015-11-02,1399,0,98
2015-11-03,1400,1,93
2015-11-04,1401,2,91
2015-11-05,1402,3,101
2015-11-06,1403,4,64
2015-11-09,1406,0,94
2015-11-10,1407,1,83
2015-11-11,1408,2,57
2015-11-12,1409,3,62
2015-11-13,1410,4,72
2015-11-16,1413,0,102
2015-11-17,1414,1,106
2015-11-18,1415,2,104
2015-11-19,1416,3,113
2015-11-20,1417,4,91
2015-11-23,1420,0,100
2015-11-24,1421,1,100
2015-11-25,1422,2,58
2015-11-26,1423,3,3
2015-11-27,1424,4,8
2015-11-30,1427,0,112
2015-12-01,1428,1,85
2015-12-02,1429,2,83
2015-12-03,1430,3,74
2015-12-04,1431,4,86
2015-12-07,1434,0,101
2015-12-08,1435,1,78
2015-12-09,1436,2,96
2015-12-10,1437,3,85
2015-12-11,1438,4,81
2015-12-14,1441,0,143
2015-12-15,1442,1,121
2015-12-16,1443,2,82
2015-12-17,1444,3,110
2015-12-18,1445,4,113
2015-12-21,1448,0,124
2015-12-22,1449,1,83
2015-12-23,1450,2,79
2015-12-24,1451,3,41
2015-12-28,1455,0,105
2015-12-29,1456,1,78
2015-12-30,1457,2,76
2015-12-31,1458,3,66
2016-01-01,1459,4,1
2016-01-04,1462,0,123
2016-01-05,1463,1,119
2016-01-06,1464,2,108
2016-01-07,1465,3,109
2016-01-08,1466,4,85
2016-01-11,1469,0,120
2016-01-12,1470,1,105
2016-01-13,1471,2,96
2016-01-14,1472,3,82
2016-01-15,1473,4,80
2016-01-18,1476,0,77
2016-01-19,1477,1,121
2016-01-20,1478,2,86
2016-01-21,1479,3,86
2016-01-22,1480,4,90
2016-01-25,1483,0,84
2016-01-26,1484,1,102
2016-01-27,1485,2,93
2016-01-28,1486,3,79
2016-01-29,1487,4,73
2016-02-01,1490,0,106
2016-02-02,1491,1,103
2016-02-03,1492,2,107
2016-02-04,1493,3,111
2016-02-05,1494,4,76
2016-02-08,1497,0,100
2016-02-09,1498,1,80
2016-02-10,1499,2,73
2016-02-11,1500,3,102
2016-02-12,1501,4,72
2016-02-15,1504,0,56
2016-02-16,1505,1,73
2016-02-17,1506,2,76
2016-02-18,1507,3,82
2016-02-19,1508,4,76
2016-02-22,1511,0,112
2016-02-23,1512,1,109
2016-02-24,1513,2,107
2016-02-25,1514,3,122
2016-02-26,1515,4,85
2016-02-29,1518,0,103
2016-03-01,1519,1,83
2016-03-02,1520,2,101
2016-03-03,1521,3,70
2016-03-04,1522,4,79
2016-03-07,1525,0,103
2016-03-08,1526,1,80
2016-03-09,1527,2,83
2016-03-10,1528,3,61
2016-03-11,1529,4,58
2016-03-14,1532,0,119
2016-03-15,1533,1,104
2016-03-16,1534,2,112
2016-03-17,1535,3,90
2016-03-18,1536,4,74
2016-03-21,1539,0,120
2016-03-22,1540,1,114
2016-03-23,1541,2,112
2016-03-24,1542,3,102
2016-03-25,1543,4,64
2016-03-28,1546,0,102
2016-03-29,1547,1,94
2016-03-30,1548,2,77
2016-03-31,1549,3,96
2016-04-01,1550,4,90
2016-04-04,1553,0,107
2016-04-05,1554,1,106
2016-04-06,1555,2,98
2016-04-07,1556,3,113
2016-04-08,1557,4,83
2016-04-11,1560,0,98
2016-04-12,1561,1,79
2016-04-13,1562,2,87
2016-04-14,1563,3,70
2016-04-15,1564,4,67
2016-04-18,1567,0,105
2016-04-19,1568,1,105
2016-04-20,1569,2,119
2016-04-21,1570,3,109
2016-04-22,1571,4,73
2016-04-25,1574,0,116
2016-04-26,1575,1,111
2016-04-27,1576,2,122
2016-04-28,1577,3,104
2016-04-29,1578,4,75
2016-05-02,1581,0,130
2016-05-03,1582,1,127
2016-05-04,1583,2,113
2016-05-05,1584,3,111
2016-05-06,1585,4,79
2016-05-09,1588,0,103
2016-05-10,1589,1,110
2016-05-11,1590,2,109
2016-05-12,1591,3,104
2016-05-13,1592,4,93
2016-05-16,1595,0,114
2016-05-17,1596,1,137
2016-05-18,1597,2,115
2016-05-19,1598,3,117
2016-05-20,1599,4,84
2016-05-23,1602,0,141
2016-05-24,1603,1,115
2016-05-25,1604,2,98
2016-05-26,1605,3,108
2016-05-27,1606,4,94
2016-05-30,1609,0,10
2016-05-31,1610,1,134
2016-06-01,1611,2,119
2016-06-02,1612,3,113
2016-06-03,1613,4,92
2016-06-06,1616,0,149
2016-06-07,1617,1,102
2016-06-08,1618,2,138
2016-06-09,1619,3,134
2016-06-10,1620,4,95
2016-06-13,1623,0,140
2016-06-14,1624,1,109
2016-06-15,1625,2,117
2016-06-16,1626,3,110
2016-06-17,1627,4,115
2016-06-20,1630,0,138
2016-06-21,1631,1,116
2016-06-22,1632,2,141
2016-06-23,1633,3,115
2016-06-24,1634,4,88
2016-06-27,1637,0,140
2016-06-28,1638,1,107
2016-06-29,1639,2,123
2016-06-30,1640,3,121
2016-07-01,1641,4,87
2016-07-04,1644,0,8
2016-07-05,1645,1,123
2016-07-06,1646,2,96
2016-07-07,1647,3,121
2016-07-08,1648,4,87
2016-07-11,1651,0,117
2016-07-12,1652,1,109
2016-07-13,1653,2,111
2016-07-14,1654,3,96
2016-07-15,1655,4,94
2016-07-18,1658,0,117
2016-07-19,1659,1,91
2016-07-20,1660,2,91
2016-07-21,1661,3,95
2016-07-22,1662,4,85
2016-07-25,1665,0,99
2016-07-26,1666,1,113
2016-07-27,1667,2,98
2016-07-28,1668,3,97
2016-07-29,1669,4,73
2016-08-01,1672,0,101
2016-08-02,1673,1,96
2016-08-03,1674,2,89
2016-08-04,1675,3,100
2016-08-05,1676,4,79
2016-08-08,1679,0,123
2016-08-09,1680,1,102
2016-08-10,1681,2,102
2016-08-11,1682,3,90
2016-08-12,1683,4,99
2016-08-15,1686,0,132
2016-08-16,1687,1,102
2016-08-17,1688,2,109
2016-08-18,1689,3,81
2016-08-19,1690,4,104
2016-08-22,1693,0,92
2016-08-23,1694,1,99
2016-08-24,1695,2,97
2016-08-25,1696,3,75
2016-08-26,1697,4,89
2016-08-29,1700,0,107
2016-08-30,1701,1,104
2016-08-31,1702,2,98
2016-09-01,1703,3,87
2016-09-02,1704,4,70
2016-09-05,1707,0,3
2016-09-06,1708,1,101
2016-09-07,1709,2,98
2016-09-08,1710,3,96
2016-09-09,1711,4,95
2016-09-12,1714,0,89
2016-09-13,1715,1,109
2016-09-14,1716,2,86
2016-09-15,1717,3,73
2016-09-16,1718,4,89
2016-09-19,1721,0,86
2016-09-20,1722,1,104
2016-09-21,1723,2,66
2016-09-22,1724,3,50
2016-09-23,1725,4,41
2016-09-26,1728,0,94
2016-09-27,1729,1,92
2016-09-28,1730,2,103
2016-09-29,1731,3,76
2016-09-30,1732,4,87
2016-10-03,1735,0,98
2016-10-04,1736,1,69
2016-10-05,1737,2,81
2016-10-06,1738,3,86
2016-10-07,1739,4,67
2016-10-10,1742,0,91
2016-10-11,1743,1,77
2016-10-12,1744,2,88
2016-10-13,1745,3,80
2016-10-14,1746,4,90
2016-10-17,1749,0,100
2016-10-18,1750,1,90
2016-10-19,1751,2,77
2016-10-20,1752,3,85
2016-10-21,1753,4,63
2016-10-24,1756,0,84
2016-10-25,1757,1,107
2016-10-26,1758,2,106
2016-10-27,1759,3,100
2016-10-28,1760,4,65
2016-10-31,1763,0,82
2016-11-01,1764,1,89
2016-11-02,1765,2,96
2016-11-03,1766,3,85
2016-11-04,1767,4,106
2016-11-07,1770,0,82
2016-11-08,1771,1,81
2016-11-09,1772,2,87
2016-11-10,1773,3,84
2016-11-11,1774,4,54
2016-11-14,1777,0,74
2016-11-15,1778,1,56
2016-11-16,1779,2,73
2016-11-17,1780,3,94
2016-11-18,1781,4,90
2016-11-21,1784,0,107
2016-11-22,1785,1,71
2016-11-23,1786,2,71
2016-11-24,1787,3,3
2016-11-25,1788,4,5
2016-11-28,1791,0,91
2016-11-29,1792,1,77
2016-11-30,1793,2,74
2016-12-01,1794,3,79
2016-12-02,1795,4,73
2016-12-05,1798,0,101
2016-12-06,1799,1,76
2016-12-07,1800,2,87
2016-12-08,1801,3,69
2016-12-09,1802,4,75
2016-12-12,1805,0,101
2016-12-13,1806,1,112
2016-12-14,1807,2,79
2016-12-15,1808,3,100
2016-12-16,1809,4,100
2016-12-19,1812,0,86
2016-12-20,1813,1,85
2016-12-21,1814,2,99
2016-12-22,1815,3,74
2016-12-23,1816,4,52
2016-12-26,1819,0,4
2016-12-27,1820,1,100
2016-12-28,1821,2,75
2016-12-29,1822,3,91
2016-12-30,1823,4,60
2017-01-02,1826,0,7
2017-01-03,1827,1,155
2017-01-04,1828,2,112
2017-01-05,1829,3,119
2017-01-06,1830,4,98
2017-01-09,1833,0,122
2017-01-10,1834,1,97
2017-01-11,1835,2,91
2017-01-12,1836,3,85
2017-01-13,1837,4,100
2017-01-16,1840,0,83
